Family_ID	Feature_Type	Size	Genome_Count	Genome_Percentage	Classification	Representative	Rep_Sequence_Length	Min_Length	Max_Length	Mean_Length	Sequence_Diversity	Length_Variance
FAM_P2150	P	6	6	100.0%	core	P2J3	201	201	201	201.0	0.667	0.0
FAM_P2151	P	4	4	66.7%	accessory	P2JZ	363	363	363	363.0	0.750	0.0
FAM_P2152	P	2	2	33.3%	accessory	P2R3	1071	1071	1071	1071.0	1.000	0.0
FAM_P2153	P	5	5	83.3%	accessory	P2XB	981	981	981	981.0	0.600	0.0
FAM_P2154	P	6	6	100.0%	core	P33J	759	759	759	759.0	0.667	0.0
FAM_P2155	P	6	6	100.0%	core	P34F	174	174	174	174.0	0.500	0.0
FAM_P2156	P	6	6	100.0%	core	P3CF	1167	1167	1167	1167.0	0.833	0.0
SING_P8K9	P	1	1	16.7%	accessory	P8K9	645	645	645	645.0	1.000	0.0
SING_P8L5	P	1	1	16.7%	accessory	P8L5	462	462	462	462.0	1.000	0.0
FAM_P2157	P	2	2	33.3%	accessory	P1JP	882	876	882	879.0	1.000	18.0
SING_P8WP	P	1	1	16.7%	accessory	P8WP	4368	4368	4368	4368.0	1.000	0.0
SING_P989	P	1	1	16.7%	accessory	P989	1323	1323	1323	1323.0	1.000	0.0
FAM_P2158	P	2	1	16.7%	accessory	P995	249	249	249	249.0	0.500	0.0
SING_P9JT	P	1	1	16.7%	accessory	P9JT	1428	1428	1428	1428.0	1.000	0.0
SING_P9KP	P	1	1	16.7%	accessory	P9KP	684	684	684	684.0	1.000	0.0
FAM_P2159	P	2	2	33.3%	accessory	P9Q1	957	957	957	957.0	1.000	0.0
SING_P9UH	P	1	1	16.7%	accessory	P9UH	3234	3234	3234	3234.0	1.000	0.0
SING_PAAH	P	1	1	16.7%	accessory	PAAH	216	216	216	216.0	1.000	0.0
SING_PABD	P	1	1	16.7%	accessory	PABD	291	291	291	291.0	1.000	0.0
SING_PAE1	P	1	1	16.7%	accessory	PAE1	597	597	597	597.0	1.000	0.0
FAM_P2160	P	2	2	33.3%	accessory	P3AK	915	915	915	915.0	1.000	0.0
SING_PAK9	P	1	1	16.7%	accessory	PAK9	315	315	315	315.0	1.000	0.0
FAM_P2161	P	2	2	33.3%	accessory	PAL5	234	234	234	234.0	1.000	0.0
SING_PANT	P	1	1	16.7%	accessory	PANT	1008	1008	1008	1008.0	1.000	0.0
FAM_P2162	P	2	2	33.3%	accessory	PB4P	744	744	744	744.0	1.000	0.0
SING_PB6H	P	1	1	16.7%	accessory	PB6H	384	384	384	384.0	1.000	0.0
FAM_P2163	P	6	6	100.0%	core	P152	2280	2280	2280	2280.0	0.833	0.0
FAM_P2164	P	6	6	100.0%	core	P1GF	1833	1833	1833	1833.0	0.833	0.0
FAM_P2165	P	6	6	100.0%	core	P1HB	366	366	366	366.0	0.833	0.0
FAM_P2166	P	6	6	100.0%	core	P1J4	900	900	900	900.0	0.833	0.0
FAM_P2167	P	6	6	100.0%	core	P1K0	1224	1224	1224	1224.0	0.833	0.0
FAM_P2168	P	2	2	33.3%	accessory	P5KX	639	639	639	639.0	0.500	0.0
FAM_P2169	P	6	4	66.7%	accessory	P25Z	444	156	633	411.0	0.500	46159.2
FAM_P2170	P	6	6	100.0%	core	P28V	708	708	708	708.0	0.667	0.0
FAM_P2171	P	2	2	33.3%	accessory	P751	738	738	738	738.0	1.000	0.0
FAM_P2172	P	2	2	33.3%	accessory	P745	501	501	501	501.0	1.000	0.0
FAM_P2173	P	2	2	33.3%	accessory	P6MH	585	585	585	585.0	0.500	0.0
FAM_P2174	P	2	2	33.3%	accessory	P6SU	384	384	384	384.0	0.500	0.0
FAM_P2175	P	3	3	50.0%	accessory	P7C4	459	459	558	492.0	0.667	3267.0
FAM_P2176	P	2	2	33.3%	accessory	P3N5	630	630	630	630.0	0.500	0.0
FAM_P2177	P	2	2	33.3%	accessory	P3XS	771	771	771	771.0	0.500	0.0
FAM_P2178	P	2	2	33.3%	accessory	P3YO	3066	3066	3066	3066.0	0.500	0.0
FAM_P2179	P	2	2	33.3%	accessory	P44W	189	189	189	189.0	0.500	0.0
FAM_P2180	P	2	2	33.3%	accessory	P49D	618	618	618	618.0	0.500	0.0
FAM_P2181	P	2	2	33.3%	accessory	P4B5	1311	1311	1311	1311.0	0.500	0.0
FAM_P2182	P	2	2	33.3%	accessory	P4C1	141	141	141	141.0	0.500	0.0
FAM_P2183	P	2	2	33.3%	accessory	P4CX	459	459	459	459.0	0.500	0.0
FAM_P2184	P	2	2	33.3%	accessory	P4I9	198	198	198	198.0	0.500	0.0
FAM_P2185	P	2	2	33.3%	accessory	P4NL	258	258	258	258.0	0.500	0.0
FAM_P2186	P	2	2	33.3%	accessory	P4R5	624	624	624	624.0	0.500	0.0
FAM_P2187	P	3	3	50.0%	accessory	P7GL	249	249	285	261.0	0.667	432.0
FAM_P2188	P	2	2	33.3%	accessory	P7G0	621	621	621	621.0	0.500	0.0
SING_PFG9	P	1	1	16.7%	accessory	PFG9	375	375	375	375.0	1.000	0.0
SING_PFW9	P	1	1	16.7%	accessory	PFW9	2685	2685	2685	2685.0	1.000	0.0
FAM_P2189	P	3	3	50.0%	accessory	P292	1683	1683	1683	1683.0	1.000	0.0
FAM_P2190	P	3	2	33.3%	accessory	P9PQ	1263	162	1263	575.0	1.000	359769.0
FAM_P2191	P	2	2	33.3%	accessory	P86X	1176	1176	1176	1176.0	1.000	0.0
FAM_P2192	P	11	5	83.3%	accessory	P20J	333	333	2253	942.8	0.636	282065.6
SING_PGPL	P	1	1	16.7%	accessory	PGPL	1179	1179	1179	1179.0	1.000	0.0
SING_PGQH	P	1	1	16.7%	accessory	PGQH	690	690	690	690.0	1.000	0.0
FAM_P2193	P	3	2	33.3%	accessory	P8CM	438	438	438	438.0	1.000	0.0
SING_PGUX	P	1	1	16.7%	accessory	PGUX	1524	1524	1524	1524.0	1.000	0.0
SING_PHEH	P	1	1	16.7%	accessory	PHEH	333	333	333	333.0	1.000	0.0
SING_PHND	P	1	1	16.7%	accessory	PHND	1035	1035	1035	1035.0	1.000	0.0
FAM_P2194	P	7	3	50.0%	accessory	P3S9	1335	180	4851	2551.7	0.714	4448711.6
SING_PI61	P	1	1	16.7%	accessory	PI61	510	510	510	510.0	1.000	0.0
FAM_P2195	P	2	2	33.3%	accessory	PIWP	876	876	876	876.0	0.500	0.0
FAM_P2196	P	2	2	33.3%	accessory	PIXL	378	378	378	378.0	0.500	0.0
FAM_P2197	P	2	2	33.3%	accessory	PIYH	639	639	639	639.0	1.000	0.0
FAM_P2198	P	2	2	33.3%	accessory	PJ15	801	801	801	801.0	0.500	0.0
FAM_P2199	P	2	2	33.3%	accessory	PJ21	312	312	312	312.0	0.500	0.0
FAM_P2200	P	2	2	33.3%	accessory	PJ2X	2391	2391	2391	2391.0	0.500	0.0
SING_PJ4P	P	1	1	16.7%	accessory	PJ4P	270	270	270	270.0	1.000	0.0
SING_PJ5L	P	1	1	16.7%	accessory	PJ5L	1110	1110	1110	1110.0	1.000	0.0
SING_PJ6H	P	1	1	16.7%	accessory	PJ6H	501	501	501	501.0	1.000	0.0
FAM_P2201	P	2	2	33.3%	accessory	PB7E	2235	2154	2235	2194.5	1.000	3280.5
SING_PJ95	P	1	1	16.7%	accessory	PJ95	387	387	387	387.0	1.000	0.0
SING_PJA1	P	1	1	16.7%	accessory	PJA1	798	798	798	798.0	1.000	0.0
SING_PJAX	P	1	1	16.7%	accessory	PJAX	204	204	204	204.0	1.000	0.0
SING_PJBT	P	1	1	16.7%	accessory	PJBT	1143	1143	1143	1143.0	1.000	0.0
FAM_P2202	P	3	3	50.0%	accessory	P824	249	249	249	249.0	0.667	0.0
FAM_P2203	P	6	6	100.0%	core	P1U0	987	987	999	995.0	0.667	38.4
FAM_P2204	P	2	2	33.3%	accessory	P1QA	717	717	717	717.0	0.500	0.0
SING_PKYH	P	1	1	16.7%	accessory	PKYH	1314	1314	1314	1314.0	1.000	0.0
FAM_P2205	P	6	6	100.0%	core	P4P9	873	873	876	875.0	0.667	2.4
FAM_P2206	P	4	4	66.7%	accessory	P7CH	246	246	591	418.5	0.500	39675.0
SING_PLA1	P	1	1	16.7%	accessory	PLA1	966	966	966	966.0	1.000	0.0
SING_PM8P	P	1	1	16.7%	accessory	PM8P	921	921	921	921.0	1.000	0.0
FAM_P2207	P	3	2	33.3%	accessory	PJ0K	1215	1215	1215	1215.0	1.000	0.0
SING_PMQH	P	1	1	16.7%	accessory	PMQH	486	486	486	486.0	1.000	0.0
SING_PMRD	P	1	1	16.7%	accessory	PMRD	627	627	627	627.0	1.000	0.0
FAM_P2208	P	5	2	33.3%	accessory	PJ0I	966	219	1494	856.2	1.000	215305.2
FAM_P2209	P	2	2	33.3%	accessory	PIZ8	408	408	408	408.0	0.500	0.0
FAM_P2210	P	2	2	33.3%	accessory	PIZW	1326	1326	1326	1326.0	1.000	0.0
FAM_P2211	P	2	2	33.3%	accessory	PIY6	330	330	330	330.0	0.500	0.0
FAM_P2212	P	2	2	33.3%	accessory	PIXA	426	426	426	426.0	1.000	0.0
FAM_P2213	P	2	2	33.3%	accessory	PJ2J	450	450	450	450.0	0.500	0.0
FAM_P2214	P	2	2	33.3%	accessory	PJ1Q	237	237	237	237.0	0.500	0.0
FAM_P2215	P	2	2	33.3%	accessory	PJ0R	435	435	435	435.0	1.000	0.0
SING_PUY	P	1	1	16.7%	accessory	PUY	342	342	342	342.0	1.000	0.0
FAM_P2216	P	2	2	33.3%	accessory	P122	789	789	789	789.0	0.500	0.0
SING_P1SQ	P	1	1	16.7%	accessory	P1SQ	363	363	363	363.0	1.000	0.0
SING_P1ZU	P	1	1	16.7%	accessory	P1ZU	213	213	213	213.0	1.000	0.0
FAM_P2217	P	6	4	66.7%	accessory	P322	255	255	957	630.0	0.667	94327.2
FAM_P2218	P	4	4	66.7%	accessory	P36I	327	327	648	487.5	0.750	34347.0
SING_P396	P	1	1	16.7%	accessory	P396	279	279	279	279.0	1.000	0.0
FAM_P2219	P	2	2	33.3%	accessory	P3JU	618	618	618	618.0	0.500	0.0
FAM_P2220	P	2	2	33.3%	accessory	P3YY	1020	1020	1020	1020.0	0.500	0.0
FAM_P2221	P	2	2	33.3%	accessory	P41M	321	321	321	321.0	0.500	0.0
FAM_P2222	P	2	2	33.3%	accessory	P456	1092	1092	1092	1092.0	0.500	0.0
FAM_P2223	P	2	2	33.3%	accessory	P48Q	273	273	273	273.0	0.500	0.0
FAM_P2224	P	2	2	33.3%	accessory	P49M	96	96	96	96.0	0.500	0.0
FAM_P2225	P	2	2	33.3%	accessory	P4AI	1611	1611	1611	1611.0	0.500	0.0
FAM_P2226	P	2	2	33.3%	accessory	P4BE	2361	2361	2361	2361.0	0.500	0.0
FAM_P2227	P	2	2	33.3%	accessory	P4D6	2169	2169	2169	2169.0	0.500	0.0
FAM_P2228	P	2	2	33.3%	accessory	P4GQ	192	192	192	192.0	0.500	0.0
FAM_P2229	P	2	2	33.3%	accessory	P4II	225	225	225	225.0	0.500	0.0
FAM_P2230	P	2	2	33.3%	accessory	P4OQ	348	348	348	348.0	0.500	0.0
FAM_P2231	P	2	2	33.3%	accessory	P4SA	213	213	213	213.0	0.500	0.0
FAM_P2232	P	9	2	33.3%	accessory	P4HN	210	210	282	226.0	0.444	1008.0
FAM_P2233	P	3	3	50.0%	accessory	P4YI	396	396	396	396.0	0.667	0.0
FAM_P2234	P	2	2	33.3%	accessory	P4ZE	282	282	282	282.0	0.500	0.0
FAM_P2235	P	2	2	33.3%	accessory	P5BU	252	252	252	252.0	0.500	0.0
FAM_P2236	P	3	3	50.0%	accessory	P5RU	570	570	849	663.0	0.667	25947.0
FAM_P2237	P	3	3	50.0%	accessory	P60Q	648	648	651	649.0	0.667	3.0
FAM_P2238	P	2	2	33.3%	accessory	P62I	537	537	537	537.0	0.500	0.0
FAM_P2239	P	2	2	33.3%	accessory	P6T6	456	456	456	456.0	0.500	0.0
FAM_P2240	P	2	2	33.3%	accessory	P73U	543	543	543	543.0	1.000	0.0
FAM_P2241	P	2	2	33.3%	accessory	P74Q	615	615	615	615.0	0.500	0.0
FAM_P2242	P	2	2	33.3%	accessory	P7FE	1968	1968	1968	1968.0	0.500	0.0
FAM_P2243	P	2	2	33.3%	accessory	P7H6	339	339	339	339.0	0.500	0.0
SING_P7Q2	P	1	1	16.7%	accessory	P7Q2	768	768	768	768.0	1.000	0.0
FAM_P2244	P	2	2	33.3%	accessory	P8CA	552	552	558	555.0	1.000	18.0
SING_P8D6	P	1	1	16.7%	accessory	P8D6	1329	1329	1329	1329.0	1.000	0.0
SING_P8KA	P	1	1	16.7%	accessory	P8KA	351	351	351	351.0	1.000	0.0
FAM_P2245	P	2	2	33.3%	accessory	P8L6	1419	1419	1419	1419.0	1.000	0.0
SING_P8U2	P	1	1	16.7%	accessory	P8U2	558	558	558	558.0	1.000	0.0
SING_P8WQ	P	1	1	16.7%	accessory	P8WQ	2460	2460	2460	2460.0	1.000	0.0
SING_P98A	P	1	1	16.7%	accessory	P98A	312	312	312	312.0	1.000	0.0
FAM_P2246	P	2	1	16.7%	accessory	P996	198	198	198	198.0	0.500	0.0
SING_P9JU	P	1	1	16.7%	accessory	P9JU	252	252	252	252.0	1.000	0.0
SING_P9KQ	P	1	1	16.7%	accessory	P9KQ	231	231	231	231.0	1.000	0.0
FAM_P2247	P	2	2	33.3%	accessory	P9Q2	2178	2178	2178	2178.0	1.000	0.0
SING_P9UI	P	1	1	16.7%	accessory	P9UI	984	984	984	984.0	1.000	0.0
SING_PA9M	P	1	1	16.7%	accessory	PA9M	564	564	564	564.0	1.000	0.0
SING_PAAI	P	1	1	16.7%	accessory	PAAI	1497	1497	1497	1497.0	1.000	0.0
SING_PABE	P	1	1	16.7%	accessory	PABE	1440	1440	1440	1440.0	1.000	0.0
SING_PAE2	P	1	1	16.7%	accessory	PAE2	1266	1266	1266	1266.0	1.000	0.0
FAM_P2248	P	2	2	33.3%	accessory	P3AJ	3513	3513	3513	3513.0	1.000	0.0
SING_PAKA	P	1	1	16.7%	accessory	PAKA	189	189	189	189.0	1.000	0.0
FAM_P2249	P	2	2	33.3%	accessory	PAL6	678	678	678	678.0	1.000	0.0
FAM_P2250	P	3	2	33.3%	accessory	PAM2	567	132	567	364.0	1.000	47937.0
SING_PAMY	P	1	1	16.7%	accessory	PAMY	237	237	237	237.0	1.000	0.0
SING_PAVU	P	1	1	16.7%	accessory	PAVU	450	450	450	450.0	1.000	0.0
SING_PAZE	P	1	1	16.7%	accessory	PAZE	279	279	279	279.0	1.000	0.0
FAM_P2251	P	2	2	33.3%	accessory	PB4Q	258	258	258	258.0	1.000	0.0
SING_PB6I	P	1	1	16.7%	accessory	PB6I	435	435	435	435.0	1.000	0.0
FAM_P2252	P	2	2	33.3%	accessory	P4ZD	228	228	228	228.0	0.500	0.0
FAM_P2253	P	6	6	100.0%	core	P1KW	1362	1362	1362	1362.0	0.833	0.0
FAM_P2254	P	2	2	33.3%	accessory	P5KY	282	282	282	282.0	0.500	0.0
FAM_P2255	P	2	2	33.3%	accessory	P5S1	1434	1434	1434	1434.0	0.500	0.0
FAM_P2256	P	2	2	33.3%	accessory	P750	465	465	465	465.0	0.500	0.0
FAM_P2257	P	2	2	33.3%	accessory	P744	501	501	501	501.0	1.000	0.0
FAM_P2258	P	2	2	33.3%	accessory	P6MI	1170	1170	1170	1170.0	0.500	0.0
FAM_P2259	P	2	2	33.3%	accessory	P6SV	507	507	507	507.0	0.500	0.0
FAM_P2260	P	3	3	50.0%	accessory	P6TR	324	324	324	324.0	0.667	0.0
FAM_P2261	P	2	2	33.3%	accessory	P6VJ	1083	1083	1083	1083.0	0.500	0.0
FAM_P2262	P	2	2	33.3%	accessory	P3HU	297	297	297	297.0	0.500	0.0
FAM_P2263	P	2	2	33.3%	accessory	P3JM	444	444	444	444.0	0.500	0.0
FAM_P2264	P	3	3	50.0%	accessory	P3LE	168	168	795	377.0	0.667	131043.0
FAM_P2265	P	2	2	33.3%	accessory	P3YP	330	330	330	330.0	0.500	0.0
FAM_P2266	P	2	2	33.3%	accessory	P44X	186	186	186	186.0	0.500	0.0
FAM_P2267	P	2	2	33.3%	accessory	P49E	735	735	735	735.0	0.500	0.0
FAM_P2268	P	2	2	33.3%	accessory	P4B6	789	789	789	789.0	0.500	0.0
FAM_P2269	P	2	2	33.3%	accessory	P4C2	672	672	672	672.0	0.500	0.0
FAM_P2270	P	4	3	50.0%	accessory	P4CY	510	510	549	520.5	0.750	363.0
FAM_P2271	P	2	2	33.3%	accessory	P4IA	186	186	186	186.0	0.500	0.0
FAM_P2272	P	2	2	33.3%	accessory	P4NM	279	279	279	279.0	0.500	0.0
FAM_P2273	P	2	2	33.3%	accessory	P4R6	369	369	369	369.0	0.500	0.0
FAM_P2274	P	4	4	66.7%	accessory	P7GM	453	453	540	496.5	0.750	2523.0
FAM_P2275	P	2	2	33.3%	accessory	P7G1	600	600	600	600.0	0.500	0.0
FAM_P2276	P	3	3	50.0%	accessory	P2RT	1185	1185	1185	1185.0	1.000	0.0
SING_PFI2	P	1	1	16.7%	accessory	PFI2	4650	4650	4650	4650.0	1.000	0.0
FAM_P2277	P	7	3	50.0%	accessory	P6KY	975	390	2097	863.6	0.571	354055.3
SING_PFWA	P	1	1	16.7%	accessory	PFWA	1071	1071	1071	1071.0	1.000	0.0
FAM_P2278	P	2	2	33.3%	accessory	P86Y	597	597	597	597.0	1.000	0.0
SING_PG9M	P	1	1	16.7%	accessory	PG9M	1440	1440	1440	1440.0	1.000	0.0
FAM_P2279	P	2	2	33.3%	accessory	P8GI	216	216	216	216.0	1.000	0.0
SING_PGPM	P	1	1	16.7%	accessory	PGPM	162	162	162	162.0	1.000	0.0
SING_PGQI	P	1	1	16.7%	accessory	PGQI	552	552	552	552.0	1.000	0.0
SING_PGUY	P	1	1	16.7%	accessory	PGUY	1215	1215	1215	1215.0	1.000	0.0
SING_PGVU	P	1	1	16.7%	accessory	PGVU	753	753	753	753.0	1.000	0.0
SING_PH6I	P	1	1	16.7%	accessory	PH6I	132	132	132	132.0	1.000	0.0
SING_PHEI	P	1	1	16.7%	accessory	PHEI	954	954	954	954.0	1.000	0.0
SING_PHNE	P	1	1	16.7%	accessory	PHNE	114	114	114	114.0	1.000	0.0
SING_PHQ2	P	1	1	16.7%	accessory	PHQ2	1104	1104	1104	1104.0	1.000	0.0
FAM_P2280	P	5	3	50.0%	accessory	P3I1	795	621	1416	849.6	0.600	107821.8
FAM_P2281	P	6	5	83.3%	accessory	P1I	651	159	807	647.0	0.833	59755.2
FAM_P2282	P	5	4	66.7%	accessory	P3A0	555	174	585	445.8	0.800	31115.7
FAM_P2283	P	2	2	33.3%	accessory	PB12	96	96	96	96.0	0.500	0.0
FAM_P2284	P	2	2	33.3%	accessory	PIWQ	201	201	201	201.0	0.500	0.0
FAM_P2285	P	2	2	33.3%	accessory	PIXM	978	978	978	978.0	0.500	0.0
FAM_P2286	P	2	2	33.3%	accessory	PIYI	642	642	642	642.0	0.500	0.0
FAM_P2287	P	2	2	33.3%	accessory	PJ16	153	153	153	153.0	0.500	0.0
FAM_P2288	P	2	2	33.3%	accessory	PJ22	201	201	201	201.0	0.500	0.0
FAM_P2289	P	2	2	33.3%	accessory	PJ2Y	252	252	252	252.0	0.500	0.0
SING_PJ4Q	P	1	1	16.7%	accessory	PJ4Q	405	405	405	405.0	1.000	0.0
SING_PJ5M	P	1	1	16.7%	accessory	PJ5M	903	903	903	903.0	1.000	0.0
SING_PJ6I	P	1	1	16.7%	accessory	PJ6I	774	774	774	774.0	1.000	0.0
FAM_P2290	P	2	2	33.3%	accessory	PB58	312	312	312	312.0	1.000	0.0
SING_PJ8A	P	1	1	16.7%	accessory	PJ8A	399	399	399	399.0	1.000	0.0
SING_PJ96	P	1	1	16.7%	accessory	PJ96	1104	1104	1104	1104.0	1.000	0.0
SING_PJA2	P	1	1	16.7%	accessory	PJA2	699	699	699	699.0	1.000	0.0
SING_PJAY	P	1	1	16.7%	accessory	PJAY	231	231	231	231.0	1.000	0.0
SING_PJBU	P	1	1	16.7%	accessory	PJBU	2316	2316	2316	2316.0	1.000	0.0
FAM_P2291	P	2	2	33.3%	accessory	P2PT	213	213	213	213.0	0.500	0.0
FAM_P2292	P	2	2	33.3%	accessory	P2AW	552	552	552	552.0	1.000	0.0
FAM_P2293	P	3	3	50.0%	accessory	P825	915	915	915	915.0	1.000	0.0
FAM_P2294	P	2	2	33.3%	accessory	P16U	333	333	333	333.0	0.500	0.0
FAM_P2295	P	2	2	33.3%	accessory	P107	183	183	183	183.0	0.500	0.0
SING_PLA2	P	1	1	16.7%	accessory	PLA2	1140	1140	1140	1140.0	1.000	0.0
FAM_P2296	P	3	2	33.3%	accessory	P9VL	1101	1101	1101	1101.0	0.667	0.0
SING_PLY2	P	1	1	16.7%	accessory	PLY2	1425	1425	1425	1425.0	1.000	0.0
SING_PLYY	P	1	1	16.7%	accessory	PLYY	201	201	201	201.0	1.000	0.0
SING_PM8Q	P	1	1	16.7%	accessory	PM8Q	1317	1317	1317	1317.0	1.000	0.0
FAM_P2297	P	3	2	33.3%	accessory	PJ0L	822	456	822	700.0	0.667	44652.0
SING_PMPM	P	1	1	16.7%	accessory	PMPM	150	150	150	150.0	1.000	0.0
SING_PMQI	P	1	1	16.7%	accessory	PMQI	180	180	180	180.0	1.000	0.0
SING_PMRE	P	1	1	16.7%	accessory	PMRE	678	678	678	678.0	1.000	0.0
FAM_P2298	P	2	2	33.3%	accessory	PIZ9	897	897	897	897.0	0.500	0.0
FAM_P2299	P	2	2	33.3%	accessory	PIZX	297	297	297	297.0	0.500	0.0
FAM_P2300	P	2	2	33.3%	accessory	PIY5	906	906	906	906.0	0.500	0.0
FAM_P2301	P	2	2	33.3%	accessory	PIX9	453	453	453	453.0	0.500	0.0
FAM_P2302	P	2	2	33.3%	accessory	PJ2I	2385	2385	2385	2385.0	0.500	0.0
FAM_P2303	P	2	2	33.3%	accessory	PJ1P	297	297	297	297.0	0.500	0.0
FAM_P2304	P	2	2	33.3%	accessory	PJ0Q	618	618	618	618.0	0.500	0.0
FAM_P2305	P	2	2	33.3%	accessory	P6Z	240	240	240	240.0	1.000	0.0
SING_PUZ	P	1	1	16.7%	accessory	PUZ	309	309	309	309.0	1.000	0.0
FAM_P2306	P	2	2	33.3%	accessory	P123	1383	1383	1383	1383.0	0.500	0.0
FAM_P2307	P	2	2	33.3%	accessory	P16J	312	312	312	312.0	0.500	0.0
SING_P1SR	P	1	1	16.7%	accessory	P1SR	306	306	306	306.0	1.000	0.0
SING_P1ZV	P	1	1	16.7%	accessory	P1ZV	1410	1410	1410	1410.0	1.000	0.0
FAM_P2308	P	3	3	50.0%	accessory	P2IJ	378	378	396	384.0	0.667	108.0
FAM_P2309	P	2	2	33.3%	accessory	P2L7	282	282	282	282.0	0.500	0.0
SING_P397	P	1	1	16.7%	accessory	P397	1122	1122	1122	1122.0	1.000	0.0
FAM_P2310	P	2	2	33.3%	accessory	P3JV	459	459	459	459.0	0.500	0.0
FAM_P2311	P	2	2	33.3%	accessory	PIZB	1428	1428	1428	1428.0	0.500	0.0
FAM_P2312	P	2	2	33.3%	accessory	PIZZ	372	372	372	372.0	0.500	0.0
FAM_P2313	P	2	2	33.3%	accessory	PIY3	447	447	447	447.0	0.500	0.0
FAM_P2314	P	2	2	33.3%	accessory	PIX7	1038	1038	1038	1038.0	0.500	0.0
FAM_P2315	P	2	2	33.3%	accessory	PJ3C	282	282	282	282.0	0.500	0.0
FAM_P2316	P	2	2	33.3%	accessory	PJ2G	312	312	312	312.0	0.500	0.0
FAM_P2317	P	2	2	33.3%	accessory	PJ1N	537	537	537	537.0	0.500	0.0
FAM_P2318	P	2	2	33.3%	accessory	PJ0O	801	171	801	486.0	1.000	198450.0
FAM_P2319	P	2	2	33.3%	accessory	PJH	2448	2448	2448	2448.0	1.000	0.0
FAM_P2320	P	2	2	33.3%	accessory	P8C9	201	201	201	201.0	1.000	0.0
FAM_P2321	P	2	2	33.3%	accessory	P125	1206	1206	1206	1206.0	0.500	0.0
FAM_P2322	P	2	2	33.3%	accessory	P16L	120	120	120	120.0	0.500	0.0
SING_P1ZX	P	1	1	16.7%	accessory	P1ZX	2190	2190	2190	2190.0	1.000	0.0
FAM_P2323	P	2	2	33.3%	accessory	P4SD	1152	1152	1152	1152.0	0.500	0.0
FAM_P2324	P	2	2	33.3%	accessory	P4U5	339	339	339	339.0	0.500	0.0
FAM_P2325	P	2	2	33.3%	accessory	P4XP	396	396	396	396.0	0.500	0.0
FAM_P2326	P	6	2	33.3%	accessory	P4GI	1038	1038	1044	1040.0	0.667	9.6
FAM_P2327	P	2	2	33.3%	accessory	P5B1	348	348	348	348.0	0.500	0.0
FAM_P2328	P	6	6	100.0%	core	P1J5	1305	1305	1305	1305.0	0.833	0.0
FAM_P2329	P	2	2	33.3%	accessory	P5J1	2892	2892	2892	2892.0	0.500	0.0
FAM_P2330	P	2	2	33.3%	accessory	P5JX	624	624	624	624.0	1.000	0.0
FAM_P2331	P	2	2	33.3%	accessory	P5RX	177	177	177	177.0	0.500	0.0
FAM_P2332	P	2	2	33.3%	accessory	P5Z1	645	645	645	645.0	0.500	0.0
FAM_P2333	P	2	2	33.3%	accessory	P6M5	1059	1059	1059	1059.0	0.500	0.0
FAM_P2334	P	2	2	33.3%	accessory	P6N1	276	276	276	276.0	0.500	0.0
FAM_P2335	P	2	2	33.3%	accessory	P6T9	459	459	459	459.0	0.500	0.0
FAM_P2336	P	2	2	33.3%	accessory	P74T	561	561	561	561.0	0.500	0.0
FAM_P2337	P	6	6	100.0%	core	P39N	903	903	903	903.0	0.833	0.0
FAM_P2338	P	2	2	33.3%	accessory	P7DP	2433	2433	2433	2433.0	0.500	0.0
FAM_P2339	P	2	2	33.3%	accessory	P7FH	435	435	435	435.0	1.000	0.0
FAM_P2340	P	4	4	66.7%	accessory	P7GD	435	435	435	435.0	0.750	0.0
FAM_P2341	P	2	2	33.3%	accessory	P7H9	279	279	279	279.0	0.500	0.0
FAM_P2342	P	2	2	33.3%	accessory	P7J1	861	861	861	861.0	1.000	0.0
FAM_P2343	P	2	2	33.3%	accessory	P7JX	996	996	996	996.0	1.000	0.0
FAM_P2344	P	2	2	33.3%	accessory	P7UL	957	957	957	957.0	1.000	0.0
SING_P7ZX	P	1	1	16.7%	accessory	P7ZX	741	741	741	741.0	1.000	0.0
SING_P871	P	1	1	16.7%	accessory	P871	429	429	429	429.0	1.000	0.0
FAM_P2345	P	2	2	33.3%	accessory	P1SL	495	489	495	492.0	1.000	18.0
SING_P8D9	P	1	1	16.7%	accessory	P8D9	426	426	426	426.0	1.000	0.0
SING_P8KD	P	1	1	16.7%	accessory	P8KD	300	300	300	300.0	1.000	0.0
SING_P8L9	P	1	1	16.7%	accessory	P8L9	693	693	693	693.0	1.000	0.0
SING_P8U5	P	1	1	16.7%	accessory	P8U5	969	969	969	969.0	1.000	0.0
SING_P8WT	P	1	1	16.7%	accessory	P8WT	513	513	513	513.0	1.000	0.0
FAM_P2346	P	2	1	16.7%	accessory	P98V	423	423	423	423.0	0.500	0.0
FAM_P2347	P	2	1	16.7%	accessory	P9FH	549	549	549	549.0	1.000	0.0
SING_P9JX	P	1	1	16.7%	accessory	P9JX	339	339	339	339.0	1.000	0.0
SING_P9KT	P	1	1	16.7%	accessory	P9KT	390	390	390	390.0	1.000	0.0
SING_P9Q5	P	1	1	16.7%	accessory	P9Q5	969	969	969	969.0	1.000	0.0
SING_P9WD	P	1	1	16.7%	accessory	P9WD	540	540	540	540.0	1.000	0.0
SING_PAAL	P	1	1	16.7%	accessory	PAAL	339	339	339	339.0	1.000	0.0
