Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences
FAM_P2710,1_898,hypothetical protein,6,6
FAM_P2711,1_930,hypothetical protein,6,6
FAM_P2712,1_1565,hypothetical protein,6,12
FAM_P2713,1_1026,hypothetical protein,6,6
FAM_P2714,1_1090,hypothetical protein,2,17
FAM_P2715,1_1122,hypothetical protein,6,6
FAM_P2716,1_1314,hypothetical protein,4,4
FAM_P2717,1_1378,hypothetical protein,6,6
FAM_P2718,1_1410,hypothetical protein,6,6
FAM_P2719,1_1442,hypothetical protein,6,6
FAM_P2720,1_1570,hypothetical protein,3,5
FAM_P2721,1_1634,hypothetical protein,4,4
FAM_P2722,1_1666,hypothetical protein,6,6
FAM_P2723,1_1553,hypothetical protein,5,13
FAM_P2724,1_1489,hypothetical protein,2,9
FAM_P2725,1_1794,hypothetical protein,6,6
FAM_P2726,1_1826,hypothetical protein,6,6
FAM_P2727,1_1316,hypothetical protein,5,5
FAM_P2728,1_1890,hypothetical protein,3,3
FAM_P2729,1_1391,hypothetical protein,6,6
FAM_P2730,1_1427,hypothetical protein,5,5
FAM_P2731,1_1454,hypothetical protein,6,6
FAM_P2732,1_1513,hypothetical protein,5,5
FAM_P2733,1_1571,hypothetical protein,3,5
FAM_P2734,1_1497,hypothetical protein,2,10
FAM_P2735,1_1577,hypothetical protein,6,6
FAM_P2736,1_1607,hypothetical protein,6,6
FAM_P2737,1_1639,hypothetical protein,6,6
FAM_P2738,1_1671,hypothetical protein,6,6
FAM_P2739,1_1704,hypothetical protein,6,6
FAM_P2740,1_1736,hypothetical protein,6,6
FAM_P2741,1_1764,hypothetical protein,6,6
FAM_P2742,1_1796,hypothetical protein,6,6
FAM_P2743,1_1826,hypothetical protein,6,6
FAM_P2744,1_1858,hypothetical protein,6,6
FAM_P2745,1_1892,hypothetical protein,6,6
FAM_P2746,1_1923,hypothetical protein,6,6
FAM_P2747,1_1089,hypothetical protein,2,8
FAM_P2748,1_319,hypothetical protein,5,24
FAM_P2749,1_1989,hypothetical protein,6,6
FAM_P2750,1_2021,hypothetical protein,6,6
FAM_P2751,1_2056,hypothetical protein,5,5
FAM_P2752,1_1066,hypothetical protein,5,44
FAM_P2753,1_2103,hypothetical protein,6,6
FAM_P2754,1_2129,hypothetical protein,6,6
FAM_P2755,1_2162,hypothetical protein,6,6
FAM_P2756,1_2200,hypothetical protein,6,6
FAM_P2757,1_2227,hypothetical protein,6,6
FAM_P2758,1_2264,hypothetical protein,6,6
FAM_P2759,1_2296,hypothetical protein,6,6
FAM_P2760,1_2365,hypothetical protein,6,6
FAM_P2761,1_2398,hypothetical protein,6,6
FAM_P2762,1_2471,hypothetical protein,6,6
FAM_P2763,1_2530,hypothetical protein,6,6
FAM_P2764,1_2563,hypothetical protein,6,6
FAM_P2765,1_1480,hypothetical protein,2,14
FAM_P2766,1_2622,hypothetical protein,6,6
FAM_P2767,1_2684,hypothetical protein,5,5
FAM_P2768,1_2717,hypothetical protein,6,6
FAM_P2769,1_2744,hypothetical protein,6,6
FAM_P2770,1_2776,hypothetical protein,6,6
FAM_P2771,1_2821,hypothetical protein,5,5
FAM_P2772,1_2854,hypothetical protein,6,6
FAM_P2773,1_3778,hypothetical protein,3,3
FAM_P2774,1_2972,hypothetical protein,6,6
FAM_P2775,1_3010,hypothetical protein,6,6
FAM_P2776,1_3042,hypothetical protein,6,6
FAM_P2777,1_3071,hypothetical protein,6,6
FAM_P2778,1_3099,hypothetical protein,6,6
FAM_P2779,1_3131,hypothetical protein,6,6
FAM_P2780,1_3170,hypothetical protein,6,6
FAM_P2781,1_3234,hypothetical protein,6,6
FAM_P2782,1_3319,hypothetical protein,6,6
FAM_P2783,1_3349,hypothetical protein,6,6
FAM_P2784,1_3379,hypothetical protein,6,6
FAM_P2785,1_3417,hypothetical protein,5,5
FAM_P2786,1_3442,hypothetical protein,5,5
FAM_P2787,1_3471,hypothetical protein,6,6
FAM_P2788,1_3499,hypothetical protein,6,6
FAM_P2789,1_3538,hypothetical protein,6,6
FAM_P2790,1_3573,hypothetical protein,6,6
FAM_P2791,1_3610,hypothetical protein,6,6
FAM_P2792,1_3647,hypothetical protein,6,6
FAM_P2793,1_3677,hypothetical protein,6,6
FAM_P2794,1_3709,hypothetical protein,6,6
FAM_P2795,1_3771,hypothetical protein,6,6
FAM_P2796,1_3802,hypothetical protein,5,5
FAM_P2797,1_3831,hypothetical protein,6,6
FAM_P2798,1_4802,hypothetical protein,3,5
FAM_P2799,1_3886,hypothetical protein,6,6
FAM_P2800,1_3918,hypothetical protein,6,7
SING_P741,1_4898,hypothetical protein,1,1
FAM_P2801,1_3958,hypothetical protein,6,6
FAM_P2802,1_3991,hypothetical protein,6,6
FAM_P2803,1_4022,hypothetical protein,6,6
FAM_P2804,1_4054,hypothetical protein,6,6
FAM_P2805,1_4088,hypothetical protein,6,6
FAM_P2806,1_4120,hypothetical protein,6,6
FAM_P2807,1_4151,hypothetical protein,6,6
FAM_P2808,1_4239,hypothetical protein,4,4
FAM_P2809,1_4270,hypothetical protein,6,6
FAM_P2810,1_4300,hypothetical protein,6,6
FAM_P2811,3_42,hypothetical protein,4,4
FAM_P2812,1_3589,hypothetical protein,6,6
SING_P7K1,1_86,hypothetical protein,1,1
FAM_P2813,1_2898,hypothetical protein,6,6
FAM_P2814,1_2837,hypothetical protein,6,6
SING_P875,1_918,hypothetical protein,1,1
SING_P89T,1_1014,hypothetical protein,1,1
FAM_P2815,1_2626,hypothetical protein,6,6
SING_P8CH,1_1110,hypothetical protein,1,1
SING_P8LD,1_1430,hypothetical protein,1,1
FAM_P2816,1_1699,hypothetical protein,6,6
SING_P9C1,1_2390,hypothetical protein,1,1
FAM_P2817,1_1796,hypothetical protein,6,6
SING_P9FL,1_2518,hypothetical protein,1,1
SING_P9J5,1_2646,hypothetical protein,1,1
SING_P9K1,1_2678,hypothetical protein,1,1
FAM_P2818,1_1421,hypothetical protein,6,6
FAM_P2819,1_1389,hypothetical protein,6,6
FAM_P2820,1_1357,hypothetical protein,4,4
SING_P9Q9,1_2902,hypothetical protein,1,1
SING_P9WH,1_3126,hypothetical protein,1,1
SING_PABL,1_3670,hypothetical protein,1,1
FAM_P2821,1_191,hypothetical protein,6,6
SING_PAG1,1_3830,hypothetical protein,1,1
SING_PAM9,1_4054,hypothetical protein,1,1
SING_PAN5,1_4086,hypothetical protein,1,1
SING_PB1D,1_4598,hypothetical protein,1,1
SING_PB6P,2_74,hypothetical protein,1,1
FAM_P2822,1_1501,hypothetical protein,6,6
FAM_P2823,1_1470,hypothetical protein,6,12
FAM_P2824,1_1440,hypothetical protein,6,6
FAM_P2825,1_1412,hypothetical protein,6,6
FAM_P2826,1_1581,hypothetical protein,6,6
FAM_P2827,1_1611,hypothetical protein,5,5
FAM_P2828,1_1643,hypothetical protein,6,6
FAM_P2829,1_1675,hypothetical protein,6,6
FAM_P2830,1_1740,hypothetical protein,4,4
FAM_P2831,1_1768,hypothetical protein,6,6
FAM_P2832,1_1799,hypothetical protein,6,6
FAM_P2833,1_1829,hypothetical protein,6,6
FAM_P2834,1_1861,hypothetical protein,6,6
FAM_P2835,1_1895,hypothetical protein,6,6
FAM_P2836,1_1927,hypothetical protein,6,6
FAM_P2837,1_1086,hypothetical protein,3,5
FAM_P2838,1_1992,hypothetical protein,6,6
FAM_P2839,1_2024,hypothetical protein,6,6
FAM_P2840,1_2060,hypothetical protein,5,5
FAM_P2841,1_1183,hypothetical protein,2,17
FAM_P2842,1_1147,hypothetical protein,5,7
FAM_P2843,1_2137,hypothetical protein,6,6
FAM_P2844,1_2170,hypothetical protein,6,6
FAM_P2845,1_2234,hypothetical protein,6,6
FAM_P2846,1_2271,hypothetical protein,6,6
FAM_P2847,1_2339,hypothetical protein,6,6
FAM_P2848,1_2405,hypothetical protein,6,6
FAM_P2849,1_2446,hypothetical protein,6,6
FAM_P2850,1_2478,hypothetical protein,6,6
FAM_P2851,1_2506,hypothetical protein,5,5
FAM_P2852,1_2537,hypothetical protein,6,6
FAM_P2853,1_2570,hypothetical protein,6,6
FAM_P2854,1_3465,hypothetical protein,4,4
FAM_P2855,1_2659,hypothetical protein,6,6
FAM_P2856,1_2693,hypothetical protein,6,6
FAM_P2857,1_2751,hypothetical protein,6,6
FAM_P2858,1_2783,hypothetical protein,6,6
FAM_P2859,1_3657,hypothetical protein,3,3
FAM_P2860,1_2828,hypothetical protein,5,5
FAM_P2861,1_2861,hypothetical protein,6,6
FAM_P2862,1_2887,hypothetical protein,6,6
FAM_P2863,1_2952,hypothetical protein,6,6
FAM_P2864,1_2979,hypothetical protein,6,6
FAM_P2865,1_3017,hypothetical protein,6,6
FAM_P2866,1_3049,hypothetical protein,6,6
SING_PCTD,1_2079,hypothetical protein,1,1
FAM_P2867,1_3083,hypothetical protein,6,6
FAM_P2868,1_3115,hypothetical protein,6,6
FAM_P2869,1_3186,hypothetical protein,6,6
FAM_P2870,1_3218,hypothetical protein,6,6
FAM_P2871,1_3250,hypothetical protein,6,6
FAM_P2872,1_3296,hypothetical protein,6,6
FAM_P2873,1_3335,hypothetical protein,6,6
FAM_P2874,1_4210,hypothetical protein,3,3
FAM_P2875,1_3392,hypothetical protein,6,6
FAM_P2876,1_3406,hypothetical protein,6,6
FAM_P2877,1_3433,hypothetical protein,6,6
FAM_P2878,1_3486,hypothetical protein,6,6
FAM_P2879,1_3410,hypothetical protein,5,14
FAM_P2880,1_3603,hypothetical protein,6,6
FAM_P2881,1_3638,hypothetical protein,6,6
FAM_P2882,1_3666,hypothetical protein,6,6
FAM_P2883,1_3698,hypothetical protein,6,6
FAM_P2884,1_3730,hypothetical protein,6,6
FAM_P2885,1_3760,hypothetical protein,6,6
FAM_P2886,1_3792,hypothetical protein,5,5
FAM_P2887,1_4759,hypothetical protein,4,4
FAM_P2888,1_3850,hypothetical protein,6,6
FAM_P2889,1_3877,hypothetical protein,6,6
FAM_P2890,1_3908,hypothetical protein,6,6
FAM_P2891,1_3934,hypothetical protein,6,6
FAM_P2892,1_4099,hypothetical protein,6,6
FAM_P2893,1_4130,hypothetical protein,6,6
FAM_P2894,1_4162,hypothetical protein,5,5
FAM_P2895,1_5197,hypothetical protein,3,3
FAM_P2896,1_4249,hypothetical protein,6,6
FAM_P2897,1_4280,hypothetical protein,6,6
FAM_P2898,1_4312,hypothetical protein,6,6
FAM_P2899,1_26,hypothetical protein,6,6
FAM_P2900,1_53,hypothetical protein,6,6
FAM_P2901,1_86,hypothetical protein,6,6
FAM_P2902,1_118,hypothetical protein,6,6
FAM_P2903,1_154,hypothetical protein,6,6
FAM_P2904,1_378,hypothetical protein,5,5
FAM_P2905,1_410,hypothetical protein,6,6
FAM_P2906,1_442,hypothetical protein,6,6
FAM_P2907,1_474,hypothetical protein,6,6
FAM_P2908,1_506,hypothetical protein,6,6
FAM_P2909,1_538,hypothetical protein,6,6
FAM_P2910,1_570,hypothetical protein,6,6
FAM_P2911,1_633,hypothetical protein,4,4
FAM_P2912,1_665,hypothetical protein,6,6
FAM_P2913,1_697,hypothetical protein,6,6
FAM_P2914,1_729,hypothetical protein,6,6
FAM_P2915,1_761,hypothetical protein,6,6
FAM_P2916,1_825,hypothetical protein,2,20
FAM_P2917,1_889,hypothetical protein,6,6
FAM_P2918,1_921,hypothetical protein,6,6
FAM_P2919,1_953,hypothetical protein,6,6
FAM_P2920,1_985,hypothetical protein,6,6
FAM_P2921,1_1017,hypothetical protein,6,6
FAM_P2922,1_1082,hypothetical protein,3,6
FAM_P2923,1_1114,hypothetical protein,4,4
FAM_P2924,1_793,hypothetical protein,4,8
FAM_P2925,1_1178,hypothetical protein,2,4
FAM_P2926,1_1242,hypothetical protein,6,6
FAM_P2927,1_1370,hypothetical protein,6,6
FAM_P2928,1_1402,hypothetical protein,6,6
FAM_P2929,1_1434,hypothetical protein,6,6
FAM_P2930,1_1498,hypothetical protein,2,9
FAM_P2931,1_1626,hypothetical protein,6,6
FAM_P2932,1_1658,hypothetical protein,6,6
FAM_P2933,1_1690,hypothetical protein,6,6
FAM_P2934,1_800,hypothetical protein,3,23
FAM_P2935,1_1786,hypothetical protein,6,6
FAM_P2936,1_1818,hypothetical protein,6,6
FAM_P2937,1_1311,hypothetical protein,6,6
FAM_P2938,1_1054,hypothetical protein,4,6
FAM_P2939,3_54,hypothetical protein,3,3
FAM_P2940,3_1,hypothetical protein,2,3
FAM_P2941,3_32,hypothetical protein,3,3
SING_PFGH,1_94,hypothetical protein,1,1
FAM_P2942,1_3292,hypothetical protein,6,6
FAM_P2943,1_3119,hypothetical protein,6,6
FAM_P2944,1_2879,hypothetical protein,6,6
FAM_P2945,1_2848,hypothetical protein,6,6
SING_PG9T,1_1150,hypothetical protein,1,1
FAM_P2946,1_2258,hypothetical protein,6,6
FAM_P2947,1_2194,hypothetical protein,6,8
SING_PGQP,1_1758,hypothetical protein,1,1
SING_PGRL,1_1790,hypothetical protein,1,1
SING_PH7L,1_2366,hypothetical protein,1,1
SING_PH9D,1_2430,hypothetical protein,1,1
SING_PHEP,1_2622,hypothetical protein,1,1
FAM_P2948,1_1369,hypothetical protein,6,6
FAM_P2949,1_994,hypothetical protein,6,6
SING_PHMP,1_2910,hypothetical protein,1,1
SING_PHNL,1_2942,hypothetical protein,1,1
FAM_P2950,1_874,hypothetical protein,6,6
SING_PHR5,1_3070,hypothetical protein,1,1
SING_PHSX,1_3134,hypothetical protein,1,1
FAM_P2951,1_324,hypothetical protein,4,4
FAM_P2952,1_18,hypothetical protein,4,7
SING_PIG1,1_3966,hypothetical protein,1,1
SING_PIN5,1_4222,hypothetical protein,1,1
FAM_P2953,1_3894,hypothetical protein,6,6
FAM_P2954,1_3837,hypothetical protein,6,6
SING_PIW1,1_4542,hypothetical protein,1,1
FAM_P2955,1_1311,hypothetical protein,4,4
FAM_P2956,2_137,hypothetical protein,2,5
SING_PJ29,2_201,hypothetical protein,1,1
FAM_P2957,2_76,hypothetical protein,3,19
SING_PJ4X,3_45,hypothetical protein,1,1
FAM_P2958,1_1303,hypothetical protein,4,13
SING_PJ8H,3_173,hypothetical protein,1,1
SING_PJ9D,4_31,hypothetical protein,1,1
SING_PJA9,4_63,hypothetical protein,1,1
SING_PJB5,4_95,hypothetical protein,1,1
FAM_P2959,1_3606,hypothetical protein,6,6
FAM_P2960,1_3546,hypothetical protein,6,6
FAM_P2961,1_3514,hypothetical protein,4,4
FAM_P2962,1_3482,hypothetical protein,6,6
FAM_P2963,1_3451,hypothetical protein,6,6
SING_PJI9,1_225,hypothetical protein,1,1
FAM_P2964,1_3395,hypothetical protein,6,6
FAM_P2965,1_3362,hypothetical protein,6,6
FAM_P2966,1_3330,hypothetical protein,6,6
FAM_P2967,1_3298,hypothetical protein,6,6
FAM_P2968,1_3266,hypothetical protein,3,3
FAM_P2969,1_3235,hypothetical protein,6,6
FAM_P2970,1_3204,hypothetical protein,6,6
FAM_P2971,1_3171,hypothetical protein,6,6
FAM_P2972,1_3241,hypothetical protein,6,6
FAM_P2973,1_696,hypothetical protein,2,2
FAM_P2974,1_2904,hypothetical protein,6,6
FAM_P2975,1_3739,hypothetical protein,4,4
FAM_P2976,1_2843,hypothetical protein,6,6
SING_PG9Y,1_1155,hypothetical protein,1,1
FAM_P2977,1_2468,hypothetical protein,6,6
FAM_P2978,1_2316,hypothetical protein,6,6
SING_PH2E,1_2179,hypothetical protein,1,1
FAM_P2979,1_1588,hypothetical protein,6,6
FAM_P2980,1_1677,hypothetical protein,6,6
SING_PHEU,1_2627,hypothetical protein,1,1
FAM_P2981,1_840,hypothetical protein,6,6
SING_PHT2,1_3139,hypothetical protein,1,1
FAM_P2982,1_1557,hypothetical protein,4,4
FAM_P2983,1_534,hypothetical protein,4,4
FAM_P2984,1_501,hypothetical protein,6,6
FAM_P2985,1_1121,hypothetical protein,3,3
FAM_P2986,1_2483,hypothetical protein,6,6
FAM_P2987,1_2081,hypothetical protein,5,6
SING_P8SS,1_1697,hypothetical protein,1,1
SING_P8WC,1_1825,hypothetical protein,1,1
SING_P8X8,1_1857,hypothetical protein,1,1
SING_P9FW,1_2529,hypothetical protein,1,1
SING_P9JG,1_2657,hypothetical protein,1,1
SING_P9KC,1_2689,hypothetical protein,1,1
SING_P9PO,1_2881,hypothetical protein,1,1
SING_P9VW,1_3105,hypothetical protein,1,1
SING_P9WS,1_3137,hypothetical protein,1,1
FAM_P2988,1_250,hypothetical protein,6,6
SING_PABW,1_3681,hypothetical protein,1,1
SING_PAJW,1_3969,hypothetical protein,1,1
FAM_P2989,1_4031,hypothetical protein,1,3
SING_PAMK,1_4065,hypothetical protein,1,1
SING_PANG,1_4097,hypothetical protein,1,1
SING_P1V2,1_2414,hypothetical protein,1,1
FAM_P2990,1_2734,hypothetical protein,6,6
FAM_P2991,1_2766,hypothetical protein,6,6
FAM_P2992,1_3278,hypothetical protein,6,6
FAM_P2993,1_3310,hypothetical protein,4,4
FAM_P2994,1_3694,hypothetical protein,6,6
FAM_P2995,1_3758,hypothetical protein,6,6
FAM_P2996,1_3790,hypothetical protein,5,5
FAM_P2997,1_3950,hypothetical protein,6,6
FAM_P2998,1_4014,hypothetical protein,6,6
FAM_P2999,1_4046,hypothetical protein,6,6
FAM_P3000,1_4078,hypothetical protein,3,3
FAM_P3001,1_4206,hypothetical protein,2,2
FAM_P3002,1_303,hypothetical protein,3,3
FAM_P3003,1_591,hypothetical protein,6,6
FAM_P3004,1_623,hypothetical protein,6,6
FAM_P3005,1_687,hypothetical protein,6,6
FAM_P3006,1_719,hypothetical protein,6,6
FAM_P3007,1_783,hypothetical protein,6,6
FAM_P3008,1_911,hypothetical protein,6,6
FAM_P3009,1_943,hypothetical protein,6,6
FAM_P3010,1_975,hypothetical protein,6,6
FAM_P3011,1_1103,hypothetical protein,6,6
FAM_P3012,1_1231,hypothetical protein,6,6
FAM_P3013,1_4196,hypothetical protein,4,4
FAM_P3014,1_1615,hypothetical protein,5,5
FAM_P3015,1_1647,hypothetical protein,6,6
FAM_P3016,1_1679,hypothetical protein,6,6
FAM_P3017,1_1775,hypothetical protein,6,6
FAM_P3018,1_1301,hypothetical protein,6,7
FAM_P3019,1_2703,hypothetical protein,2,2
FAM_P3020,1_2767,hypothetical protein,2,2
FAM_P3021,1_3439,hypothetical protein,3,3
FAM_P3022,1_3183,hypothetical protein,6,6
FAM_P3023,1_3215,hypothetical protein,6,7
FAM_P3024,1_3454,hypothetical protein,6,6
FAM_P3025,1_1447,hypothetical protein,6,6
FAM_P3026,1_1139,hypothetical protein,2,2
FAM_P3027,1_1618,hypothetical protein,6,6
FAM_P3028,1_1656,hypothetical protein,6,13
FAM_P3029,1_1685,hypothetical protein,6,6
FAM_P3030,1_1315,hypothetical protein,5,5
FAM_P3031,1_1347,hypothetical protein,2,4
FAM_P3032,1_1443,hypothetical protein,6,6
FAM_P3033,1_1475,hypothetical protein,6,6
FAM_P3034,1_1507,hypothetical protein,6,6
FAM_P3035,1_1571,hypothetical protein,6,6
FAM_P3036,1_1603,hypothetical protein,6,6
FAM_P3037,1_1635,hypothetical protein,6,6
FAM_P3038,1_1667,hypothetical protein,6,6
FAM_P3039,1_1731,hypothetical protein,6,6
FAM_P3040,1_1795,hypothetical protein,6,6
FAM_P3041,1_1955,hypothetical protein,6,6
FAM_P3042,1_2115,hypothetical protein,6,6
FAM_P3043,1_2179,hypothetical protein,6,6
FAM_P3044,1_2275,hypothetical protein,6,6
FAM_P3045,1_2371,hypothetical protein,4,4
FAM_P3046,1_2403,hypothetical protein,6,6
FAM_P3047,1_2435,hypothetical protein,6,6
FAM_P3048,1_2467,hypothetical protein,6,6
FAM_P3049,1_2499,hypothetical protein,6,6
SING_P203,1_2595,hypothetical protein,1,1
FAM_P3050,1_2627,hypothetical protein,6,6
FAM_P3051,1_2691,hypothetical protein,3,3
FAM_P3052,1_2723,hypothetical protein,6,8
FAM_P3053,1_2755,hypothetical protein,6,6
FAM_P3054,1_2787,hypothetical protein,6,6
FAM_P3055,1_2819,hypothetical protein,5,5
FAM_P3056,1_2883,hypothetical protein,6,6
FAM_P3057,1_2947,hypothetical protein,6,6
FAM_P3058,1_3075,hypothetical protein,6,6
FAM_P3059,1_3107,hypothetical protein,6,6
FAM_P3060,1_3139,hypothetical protein,6,6
FAM_P3061,1_3299,hypothetical protein,6,6
FAM_P3062,1_3331,hypothetical protein,6,6
FAM_P3063,1_3427,hypothetical protein,6,6
FAM_P3064,1_3459,hypothetical protein,6,6
FAM_P3065,1_3523,hypothetical protein,6,6
FAM_P3066,1_3683,hypothetical protein,6,6
FAM_P3067,1_3715,hypothetical protein,6,6
FAM_P3068,1_3747,hypothetical protein,6,6
FAM_P3069,1_3779,hypothetical protein,6,6
FAM_P3070,1_3811,hypothetical protein,6,6
FAM_P3071,1_3843,hypothetical protein,6,6
FAM_P3072,1_3875,hypothetical protein,6,6
FAM_P3073,1_3907,hypothetical protein,6,6
FAM_P3074,1_3939,hypothetical protein,6,6
FAM_P3075,1_4003,hypothetical protein,4,4
FAM_P3076,1_4035,hypothetical protein,6,6
FAM_P3077,1_4067,hypothetical protein,6,6
FAM_P3078,1_1380,hypothetical protein,5,11
FAM_P3079,1_4,hypothetical protein,6,6
FAM_P3080,1_36,hypothetical protein,6,6
FAM_P3081,1_64,hypothetical protein,6,6
FAM_P3082,1_96,hypothetical protein,6,6
FAM_P3083,1_132,hypothetical protein,6,6
FAM_P3084,1_164,hypothetical protein,6,6
FAM_P3085,1_228,hypothetical protein,3,3
FAM_P3086,1_260,hypothetical protein,6,6
FAM_P3087,1_356,hypothetical protein,6,6
FAM_P3088,1_388,hypothetical protein,5,5
FAM_P3089,1_452,hypothetical protein,6,6
FAM_P3090,1_484,hypothetical protein,6,6
FAM_P3091,1_516,hypothetical protein,6,6
FAM_P3092,1_548,hypothetical protein,6,6
FAM_P3093,1_580,hypothetical protein,5,5
FAM_P3094,1_612,hypothetical protein,6,6
FAM_P3095,1_644,hypothetical protein,6,6
FAM_P3096,1_676,hypothetical protein,6,6
FAM_P3097,1_708,hypothetical protein,6,6
FAM_P3098,1_740,hypothetical protein,3,3
FAM_P3099,1_836,hypothetical protein,6,6
FAM_P3100,1_868,hypothetical protein,6,6
FAM_P3101,1_900,hypothetical protein,6,6
FAM_P3102,1_964,hypothetical protein,6,6
FAM_P3103,1_996,hypothetical protein,6,6
FAM_P3104,1_1028,hypothetical protein,6,6
FAM_P3105,1_1092,hypothetical protein,2,12
FAM_P3106,1_1156,hypothetical protein,4,4
FAM_P3107,1_1316,hypothetical protein,4,4
FAM_P3108,1_1964,hypothetical protein,5,5
FAM_P3109,1_1380,hypothetical protein,6,6
FAM_P3110,1_1412,hypothetical protein,6,6
FAM_P3111,1_1444,hypothetical protein,6,6
FAM_P3112,1_1572,hypothetical protein,3,5
FAM_P3113,1_1636,hypothetical protein,4,4
FAM_P3114,1_1668,hypothetical protein,6,6
FAM_P3115,1_1551,hypothetical protein,5,7
FAM_P3116,1_1491,hypothetical protein,2,9
FAM_P3117,1_1764,hypothetical protein,6,6
FAM_P3118,1_1828,hypothetical protein,6,6
FAM_P3119,1_1318,hypothetical protein,6,6
FAM_P3120,1_1474,hypothetical protein,2,10
FAM_P3121,1_1395,hypothetical protein,6,6
FAM_P3122,1_1429,hypothetical protein,6,6
FAM_P3123,1_1456,hypothetical protein,6,6
FAM_P3124,1_1515,hypothetical protein,6,6
FAM_P3125,1_1569,hypothetical protein,3,6
FAM_P3126,1_1495,hypothetical protein,2,9
FAM_P3127,1_1579,hypothetical protein,6,6
FAM_P3128,1_1609,hypothetical protein,6,6
FAM_P3129,1_1641,hypothetical protein,6,6
FAM_P3130,1_1673,hypothetical protein,6,6
FAM_P3131,1_1706,hypothetical protein,6,6
FAM_P3132,1_1738,hypothetical protein,6,6
FAM_P3133,1_1766,hypothetical protein,6,6
FAM_P3134,1_2468,hypothetical protein,3,3
FAM_P3135,1_1828,hypothetical protein,6,6
FAM_P3136,1_1860,hypothetical protein,6,6
FAM_P3137,1_1925,hypothetical protein,6,6
FAM_P3138,1_1991,hypothetical protein,6,6
FAM_P3139,1_2023,hypothetical protein,6,6
FAM_P3140,1_2059,hypothetical protein,5,5
FAM_P3141,1_2086,hypothetical protein,6,6
FAM_P3142,1_2105,hypothetical protein,6,6
FAM_P3143,1_2131,hypothetical protein,6,7
FAM_P3144,1_2164,hypothetical protein,6,6
FAM_P3145,1_2229,hypothetical protein,6,6
FAM_P3146,1_1409,hypothetical protein,4,7
FAM_P3147,1_2501,hypothetical protein,6,6
FAM_P3148,1_2532,hypothetical protein,6,6
FAM_P3149,1_2565,hypothetical protein,6,6
FAM_P3150,1_1065,hypothetical protein,3,15
FAM_P3151,1_2624,hypothetical protein,6,6
FAM_P3152,1_2686,hypothetical protein,6,6
FAM_P3153,1_2719,hypothetical protein,6,6
FAM_P3154,1_2746,hypothetical protein,6,6
FAM_P3155,1_2778,hypothetical protein,6,6
FAM_P3156,1_3652,hypothetical protein,3,3
FAM_P3157,1_2823,hypothetical protein,5,5
FAM_P3158,1_2856,hypothetical protein,6,6
FAM_P3159,1_2974,hypothetical protein,6,6
FAM_P3160,1_3012,hypothetical protein,6,6
FAM_P3161,1_3044,hypothetical protein,5,5
FAM_P3162,1_3101,hypothetical protein,6,6
FAM_P3163,1_3133,hypothetical protein,6,6
FAM_P3164,1_3172,hypothetical protein,6,6
FAM_P3165,1_3236,hypothetical protein,6,6
FAM_P3166,1_3282,hypothetical protein,6,6
FAM_P3167,1_3321,hypothetical protein,6,6
FAM_P3168,1_3351,hypothetical protein,6,6
FAM_P3169,1_3381,hypothetical protein,6,6
FAM_P3170,1_3420,hypothetical protein,5,5
FAM_P3171,1_3473,hypothetical protein,6,6
FAM_P3172,1_3501,hypothetical protein,6,6
FAM_P3173,1_3540,hypothetical protein,6,6
FAM_P3174,1_3575,hypothetical protein,6,6
FAM_P3175,1_3612,hypothetical protein,4,4
FAM_P3176,1_3679,hypothetical protein,6,6
FAM_P3177,1_3711,hypothetical protein,6,6
FAM_P3178,1_3773,hypothetical protein,6,6
FAM_P3179,1_3804,hypothetical protein,6,6
FAM_P3180,1_3833,hypothetical protein,6,6
FAM_P3181,1_3859,hypothetical protein,6,6
FAM_P3182,1_3920,hypothetical protein,6,6
FAM_P3183,1_3960,hypothetical protein,6,6
FAM_P3184,1_3993,hypothetical protein,6,6
FAM_P3185,1_4024,hypothetical protein,6,6
FAM_P3186,1_4056,hypothetical protein,6,6
FAM_P3187,1_4090,hypothetical protein,6,6
FAM_P3188,1_4153,hypothetical protein,6,6
FAM_P3189,1_4241,hypothetical protein,5,5
FAM_P3190,1_4302,hypothetical protein,6,10
FAM_P3191,3_44,hypothetical protein,3,3
FAM_P3192,1_3247,hypothetical protein,6,6
FAM_P3193,1_3047,hypothetical protein,6,6
FAM_P3194,1_2896,hypothetical protein,6,6
FAM_P3195,1_2871,hypothetical protein,6,6
SING_P877,1_920,hypothetical protein,1,1
SING_P8DF,1_1144,hypothetical protein,1,1
FAM_P3196,1_2492,hypothetical protein,6,6
SING_P8LF,1_1432,hypothetical protein,1,1
SING_P8V7,1_1784,hypothetical protein,1,1
SING_P9AB,1_2328,hypothetical protein,1,1
FAM_P3197,1_1358,hypothetical protein,6,6
SING_P9ER,1_2488,hypothetical protein,1,1
SING_P9K3,1_2680,hypothetical protein,1,1
SING_P9QB,1_2904,hypothetical protein,1,1
FAM_P3198,1_968,hypothetical protein,6,6
SING_PA0Z,1_3288,hypothetical protein,1,1
SING_PABN,1_3672,hypothetical protein,1,1
SING_PALF,1_4024,hypothetical protein,1,1
SING_PAMB,1_4056,hypothetical protein,1,1
SING_PAN7,1_4088,hypothetical protein,1,1
FAM_P3199,1_4184,hypothetical protein,2,2
